title,titleVF,youtube_url,category_id
Metroid Prime,Title Theme,https://www.youtube.com/watch?v=15_PGFMJ4E4,games
Middle-earth: Shadow of Mordor,The Gravewalker,https://www.youtube.com/watch?v=xQ9OpOJOEWs,games
Miitopia,Title Screen,https://www.youtube.com/watch?v=KVkxTr4WJF0,games
Minecraft,Wet Hands,https://www.youtube.com/watch?v=lq1vZxM-Iic,games
Monster Hunter,Main Theme,https://www.youtube.com/watch?v=p1fEV6QbCww,games
Moonlighter,Beyond the Gates,https://www.youtube.com/watch?v=ijMoJ82NtP8,games
Mortal Kombat 1,Main Theme,https://www.youtube.com/watch?v=LWpvnU4hjS4,games
Mount Your Friends,Start Menu,https://www.youtube.com/watch?v=BIqYSC3CgS8,games
MySims,Main / Pause Menu,https://www.youtube.com/watch?v=2KYpgJdOp2Y,games
Need for Speed,Styles of Beyond - Nine Thou,https://www.youtube.com/watch?v=ubWL8VAPoYw,games
New Super Mario Bros.,Title,https://www.youtube.com/watch?v=gT_xfyhmYV8,games
New World,Embark,https://www.youtube.com/watch?v=TyFnQvr5Pzw,games
Nier Automata,Main Menu Music,https://www.youtube.com/watch?v=wc5fowb4voQ,games
Nintendogs,Ville de Toulouse,https://www.youtube.com/watch?v=c9E21bjeUAo,games
No Man's Sky,Supermoon - 65daysofstatic,https://www.youtube.com/watch?v=Nru86VmoEK4,games
Nostale,Milano Village,https://www.youtube.com/watch?v=hs3uQzw-0Ag,games
Nostos,Main Theme,https://www.youtube.com/watch?v=qhy2hkprNXY,games
Octopath Traveler,メインテーマ -,https://www.youtube.com/watch?v=sR1OHW_IReI,games
Okami,Ushiwaka's Dance,https://www.youtube.com/watch?v=60FJDw9qcFk,games
Once Human,Loading Screen,https://www.youtube.com/watch?v=qDDax9eL8Rs,games
Ori and the Blind Forest,"Ori, Lost In the Storm",https://www.youtube.com/watch?v=DvWp2h1R2ck,games
Outer Wilds,End Times,https://www.youtube.com/watch?v=t5vG4Be1Ci8,games
Overcooked,Main Menu,https://www.youtube.com/watch?v=WZbQrsR09KE,games
Overwatch,Main Menu Theme,https://www.youtube.com/watch?v=o25J0kMScRo,games
Pac-Man,Original Theme,https://www.youtube.com/watch?v=LMHZ3jfSqfc,games
Palworld,The Beginning,https://www.youtube.com/watch?v=4VS3wh49Avw,games
Payday 2,Mayhem Dressed in a Suit,https://www.youtube.com/watch?v=nwTfKjbKiuM,games
Peak,Airport,https://www.youtube.com/watch?v=si8MFGL_NE8,games
PepsiMan,Title,https://www.youtube.com/watch?v=VrJBcqvEO_A,games
Persona 5,Life Will Change,https://www.youtube.com/watch?v=CGwH6rZk7VM,games
Phasmophobia,Music Box,https://www.youtube.com/watch?v=GSBugUi1578,games
PixArk,Main Theme,https://www.youtube.com/watch?v=o3t-mTcga84,games
Planet Coaster,Main Menu Song,https://www.youtube.com/watch?v=IidS719MxbA,games
Plants vs. Zombies,Main Theme,https://www.youtube.com/watch?v=4w3VqzwJ1j4,games
PlateUp!,Main Theme,https://www.youtube.com/watch?v=E9s5B3zWge8,games
PlayerUnknown's Battlegrounds,Main Theme,https://www.youtube.com/watch?v=Ze38kD1ZNfo,games
Pokémon Black/White,Driftveil City,https://www.youtube.com/watch?v=xc_0wfIuuzw,games
Pokémon Dash,Main Title,https://www.youtube.com/watch?v=_Qm1uJc4B3E,games
Pokémon GO,Professor Theme,https://www.youtube.com/watch?v=RdC0GRsAIr0,games
Pokémon HeartGold/SoulSilver,Game Corner / Lucky Channel,https://www.youtube.com/watch?v=Jb6Kwd8KWNg,games
Pokémon Link!,Main Theme,https://www.youtube.com/watch?v=Qf9e_dxicoI,games
Pokémon Mystery Dungeon: Explorers of Sky,Theme,https://www.youtube.com/watch?v=2n4idpzoK0A,games
Pokémon Platinum,Cynthia Battle Music,https://www.youtube.com/watch?v=rXefFHRgyE0,games
Pokémon Ranger,Title Theme,https://www.youtube.com/watch?v=c-7FDXjQJEU,games
Pokémon Red/Blue,Opening,https://www.youtube.com/watch?v=JvKoBnv96PM,games
Pokémon Trading Card Game,Title Screen,https://www.youtube.com/watch?v=vMRP-q-IPJI,games
Portal,Radio Loop,https://www.youtube.com/watch?v=jcxeENnM0yI,games
Prey,Everything Is Going to Be Ok,https://www.youtube.com/watch?v=7TRdx2tbUFI,games
Professor Layton And The Curious Village,Professor Layton's Theme,https://www.youtube.com/watch?v=lL6on-bOybk,games
Prominence Poker,Main Menu Theme,https://www.youtube.com/watch?v=XOqGEy3nU3c,games
Punch-Out,Theme,https://www.youtube.com/watch?v=ndaP9iieaok,games
R.E.P.O,Main Menu,https://www.youtube.com/watch?v=qhEanZR6hrc,games
Raft,Theme Menu,https://www.youtube.com/watch?v=BlIckQiQs7g,games
Ratchet & Clank,Original Soundtrack,https://www.youtube.com/watch?v=Q00O5mXjiNg,games
Ravenswatch,Main Theme,https://www.youtube.com/watch?v=avXjvG_vbg0,games
Rayman,Main Theme,https://www.youtube.com/watch?v=SIXqoUb4S24,games
Red Dead Redemption 2,Intro Music,https://www.youtube.com/watch?v=aMxtdlDMiMo,games
Resident Evil 5,Winds of Madness,https://www.youtube.com/watch?v=3OLax-NenP8,games
Rhythm Paradise,Title,https://www.youtube.com/watch?v=Y34WtegEado,games
Rhythm Thief,Louvre Museum Invasion,https://www.youtube.com/watch?v=YlJU-SScRHk,games
Rimworld,Waiting For The Sun,https://www.youtube.com/watch?v=V52QTyn6e-A,games
Rise of the Tomb Raider,The Car Chase,https://www.youtube.com/watch?v=IK7hb-6iGxs,games
Risk of Rain 2,Chris Christodoulou - Risk of Rain 2,https://www.youtube.com/watch?v=RUN6Kqd9xgs,games
Robocraft,Menu,https://www.youtube.com/watch?v=_3Uk1JvF-Rc,games
Rocket League,Theme,https://www.youtube.com/watch?v=jrB6DLpIDaA,games
Rust,Warpath,https://www.youtube.com/watch?v=iFLaL2vfJfI,games
Saints Row 4,Main Theme,https://www.youtube.com/watch?v=ayfAf5UftRc,games
Satisfactory,Ficsit inc,https://www.youtube.com/watch?v=txJ69R9d9ig,games
Schedule 1,that sinking feeling,https://www.youtube.com/watch?v=hTSjTcxzg-Q,games
Scribblenauts Unlimited,Title Screen,https://www.youtube.com/watch?v=GgROUa5NRjk,games
SCUM,Main Theme,https://www.youtube.com/watch?v=wjzUnBg6XK8,games
Sea of Thieves,Pipe et jambe de bois,https://www.youtube.com/watch?v=54XcftT4m-U,games
Secret of Mana,Fear of the heavens,https://www.youtube.com/watch?v=O0sh_BICiz4,games
Shadow of the Colossus,Prologue,https://www.youtube.com/watch?v=Pdi1DSqBZ6Q,games
Shin Megami Tensei V,Demi Fiend Battle,https://www.youtube.com/watch?v=BktkqrD1azo,games
Shovel Knight,Strike the Earth! Plains of Passage,https://www.youtube.com/watch?v=wqAYMZSOQao,games
Silent Hill,Theme,https://www.youtube.com/watch?v=w2cK8mOG4Q8,games
SimAnimals,Theme,https://www.youtube.com/watch?v=o8Szztr31Z0,games
Skate 3,Lover's Leap,https://www.youtube.com/watch?v=IrEfB4mhMSs,games
Sky: Children of The Light,Eye of Eden,https://www.youtube.com/watch?v=vXOCwRWqcVA,games
Slay the Spire,The Awakened One,https://www.youtube.com/watch?v=JJozg3Xn6tA,games
Sleeping Dogs,Dance of The Yi People,https://www.youtube.com/watch?v=7iH8Qc9-gA8,games
Solatorobo,"And Then, To Coda",https://www.youtube.com/watch?v=jJthgbSQqBY,games
Sonic Adventures 2,LIVE AND LEARN,https://www.youtube.com/watch?v=MQak222RrEg,games
Sonic Colours,Reach for the Stars,https://www.youtube.com/watch?v=5eUswq5owJk,games
Sonic the Hedgehog,Green Hill Zone,https://www.youtube.com/watch?v=G-i8HYi1QH0,games
Sons Of The Forest,Hey You,https://www.youtube.com/watch?v=Gvc7LSvS78Q,games
Spider-Man 2,Pizza Theme,https://www.youtube.com/watch?v=czTksCF6X8Y,games
Splatoon 3,Splattack!,https://www.youtube.com/watch?v=-UHJyrstdPc,games
Spore,Menu,https://www.youtube.com/watch?v=o1JGYc1XHAw,games
Spyro The Dragon,Title Screen,https://www.youtube.com/watch?v=YvFRWKklC6c,games
Star Wars: Battlefront 2,Main Menu Music,https://www.youtube.com/watch?v=dZAxYnYGRpY,games
Stardew Valley,Ouverture,https://www.youtube.com/watch?v=FQSHcl6TJb4,games
Steep,Hanging on the Mont-Blanc,https://www.youtube.com/watch?v=6O4Wwctef0U,games
Stranded Deep,Main Theme,https://www.youtube.com/watch?v=HNkM4Z8kOyM,games
Stray,Control Room,https://www.youtube.com/watch?v=tX_pIVPUi_E,games
Street Fighters 2,Guile Theme,https://www.youtube.com/watch?v=TgAtfjRg72w,games
Subnautica,Salutations,https://www.youtube.com/watch?v=pQsQKtxG9D0,games
Subnautica Below Zero,Below Zero,https://www.youtube.com/watch?v=FvAc2H8rncs,games
Super Mario 3D Land,Title Theme,https://www.youtube.com/watch?v=-fEt-Ax11vI,games
Super Mario 64,Inside the Castle Walls,https://www.youtube.com/watch?v=KTHsSI_1Clw,games
Super Mario Bros.,Overworld Theme,https://www.youtube.com/watch?v=L4PxvY2gjP0,games
